id,title,identifier,identifier2
16045,Calaveras Explosivas,habanero:CalaverasExplosivas,CalaverasExplosivas
1762,Aces and Eights 100 Hand,habanero:AcesandEights100Hand,AcesandEights100Hand
1763,Aces and Eights 10 Hand,habanero:AcesandEights10Hand,AcesandEights10Hand
1764,Aces and Eights 1 Hand,habanero:AcesandEights1Hand,AcesandEights1Hand
1765,Aces and Eights 50 Hand,habanero:AcesandEights50Hand,AcesandEights50Hand
1766,Aces and Eights 5 Hand,habanero:AcesandEights5Hand,AcesandEights5Hand
1767,All American Poker 100 Hand,habanero:AllAmericanPoker100Hand,AllAmericanPoker100Hand
1768,All American Poker 10 Hand,habanero:AllAmericanPoker10Hand,AllAmericanPoker10Hand
1769,All American Poker 1 Hand,habanero:AllAmericanPoker1Hand,AllAmericanPoker1Hand
1770,All American Poker 50 Hand,habanero:AllAmericanPoker50Hand,AllAmericanPoker50Hand
1771,All American Poker 5 Hand,habanero:AllAmericanPoker5Hand,AllAmericanPoker5Hand
1772,Baccarat,habanero:AmericanBaccarat,AmericanBaccarat
1773,Baccarat Zero Commission,habanero:Baccarat3HZC,Baccarat3HZC
1774,Blackjack (3 Hand),habanero:BlackJack3H,BlackJack3H
1775,Double Exposure (3 Hand),habanero:BlackJack3HDoubleExposure,BlackJack3HDoubleExposure
1776,Bonus Deuces Wild 100 Hand,habanero:BonusDuecesWild100Hand,BonusDuecesWild100Hand
1777,Bonus Deuces Wild 10 Hand,habanero:BonusDuecesWild10Hand,BonusDuecesWild10Hand
1778,Bonus Deuces Wild 1 Hand,habanero:BonusDuecesWild1Hand,BonusDuecesWild1Hand
1779,Bonus Deuces Wild 50 Hand,habanero:BonusDuecesWild50Hand,BonusDuecesWild50Hand
1780,Bonus Deuces Wild 5 Hand,habanero:BonusDuecesWild5Hand,BonusDuecesWild5Hand
1781,Bonus Poker 100 Hand,habanero:BonusPoker100Hand,BonusPoker100Hand
1782,Bonus Poker 10 Hand,habanero:BonusPoker10Hand,BonusPoker10Hand
1783,Bonus Poker 1 Hand,habanero:BonusPoker1Hand,BonusPoker1Hand
1784,Bonus Poker 50 Hand,habanero:BonusPoker50Hand,BonusPoker50Hand
1785,Bonus Poker 5 Hand,habanero:BonusPoker5Hand,BonusPoker5Hand
1786,Caribbean Holdem,habanero:CaribbeanHoldem,CaribbeanHoldem
1787,Caribbean Stud,habanero:CaribbeanStud,CaribbeanStud
1788,Double Bonus Poker 100 Hand,habanero:DoubleBonusPoker100Hand,DoubleBonusPoker100Hand
1789,Double Bonus Poker 10 Hand,habanero:DoubleBonusPoker10Hand,DoubleBonusPoker10Hand
1790,Double Bonus Poker 1 Hand,habanero:DoubleBonusPoker1Hand,DoubleBonusPoker1Hand
1791,Double Bonus Poker 50 Hand,habanero:DoubleBonusPoker50Hand,DoubleBonusPoker50Hand
1792,Double Bonus Poker 5 Hand,habanero:DoubleBonusPoker5Hand,DoubleBonusPoker5Hand
1793,Double Double Bonus Poker 100 Hand,habanero:DoubleDoubleBonusPoker100Hand,DoubleDoubleBonusPoker100Hand
1794,Double Double Bonus Poker 10 Hand,habanero:DoubleDoubleBonusPoker10Hand,DoubleDoubleBonusPoker10Hand
1795,Double Double Bonus Poker 1 Hand,habanero:DoubleDoubleBonusPoker1Hand,DoubleDoubleBonusPoker1Hand
1796,Double Double Bonus Poker 50 Hand,habanero:DoubleDoubleBonusPoker50Hand,DoubleDoubleBonusPoker50Hand
1797,Double Double Bonus Poker 5 Hand,habanero:DoubleDoubleBonusPoker5Hand,DoubleDoubleBonusPoker5Hand
1798,Deuces Wild 100 Hand,habanero:DuecesWild100Hand,DuecesWild100Hand
1799,Deuces Wild 10 Hand,habanero:DuecesWild10Hand,DuecesWild10Hand
