id,title,identifier,identifier2
2954,Beowulf,pragmaticexternal:Beowulf,vs40beowulf
3041,Sugar Rush,pragmaticexternal:SugarRush,vs20cm
3742,Aztec Gems Deluxe,pragmaticexternal:AztecGemsDeluxe,vs9aztecgemsdx
15875,Roulette Turkey,pragmaticexternal:RouletteTurkey,224
16811,Big Juan,pragmaticexternal:Big Juan,vs40bigjuan1
19207,Wolf Gold Power Jackpot,pragmaticexternal:WolfGoldPowerJackpot,vs25wolfjpt
20152,Jacks or Better,pragmaticexternal:JacksorBetter,vpa
2941,5 Lions,pragmaticexternal:5Lions,vs243lions
2942,5 Lions Gold,pragmaticexternal:5LionsGold,vs243lionsgold
2943,7 Piggies,pragmaticexternal:7Piggies,vs7pigs
2944,7 Piggies 5 000,pragmaticexternal:7Piggies5000,sc7piggies
2945,888 Dragons,pragmaticexternal:888Dragons,vs1dragon8
2946,Aladdin and the Sorcerer,pragmaticexternal:AladdinandtheSorcerer,vs20aladdinsorc
2947,Ancient Egypt,pragmaticexternal:AncientEgypt,vs10egypt
2948,Ancient Egypt Classic,pragmaticexternal:AncientEgyptClassic,vs10egyptcls
2949,Asgard,pragmaticexternal:Asgard,vs25asgard
2951,Aztec Bonanza,pragmaticexternal:AztecBonanza,vs7776aztec
2952,Aztec Gems,pragmaticexternal:AztecGems,vs5aztecgems
2953,Baccarat,pragmaticexternal:Baccarat,bca
2957,Bronco Spirit,pragmaticexternal:BroncoSpirit,vs75bronco
2958,Buffalo King,pragmaticexternal:BuffaloKing,vs4096bufking
2959,Caishen's Cash,pragmaticexternal:CaishensCash,vs243caishien
2960,Caishen's Gold,pragmaticexternal:CaishensGold,vs243fortune
2961,Chilli Heat,pragmaticexternal:ChilliHeat,vs25chilli
2962,Da Vinci's Treasure,pragmaticexternal:DaVincisTreasure,vs25davinci
2963,Dance Party,pragmaticexternal:DanceParty,vs243dancingpar
2964,Diamond Strike,pragmaticexternal:DiamondStrike,vs15diamond
2965,Diamond Strike 100 000,pragmaticexternal:DiamondStrike100000,scdiamond
2966,Drago - Jewels of Fortune,pragmaticexternal:DragoJewelsofFortune,vs1600drago
2967,Dragon Kingdom,pragmaticexternal:DragonKingdom,vs25dragonkingdom
2968,Dwarven Gold Deluxe,pragmaticexternal:DwarvenGoldDeluxe,vs25dwarves_new
2969,Egyptian Fortunes,pragmaticexternal:EgyptianFortunes,vs20egypttrs
2970,8 Dragons,pragmaticexternal:EightDragons,vs20eightdragons
2971,Extra Juicy,pragmaticexternal:ExtraJuicy,vs10fruity2
2972,Fairytale Fortune,pragmaticexternal:FairytaleFortune,vs15fairytale
2973,Fire 88,pragmaticexternal:Fire88,vs7fire88
2974,Fire Strike,pragmaticexternal:FireStrike,vs10firestrike
2975,Fruit Rainbow,pragmaticexternal:FruitRainbow,vs40frrainbow
2976,Gold Rush,pragmaticexternal:GoldRush,vs25goldrush
2977,Gold Rush 250 000,pragmaticexternal:GoldRush250000,scgoldrush
2978,Gold Train,pragmaticexternal:GoldTrain,vs3train
2979,Golden Beauty,pragmaticexternal:GoldenBeauty,vs75empress
2980,Great Rhino,pragmaticexternal:GreatRhino,vs20rhino
2981,Great Rhino Megaways,pragmaticexternal:GreatRhinoMegaways,vswaysrhino
2982,Greek Gods,pragmaticexternal:GreekGods,vs243fortseren
2983,Hercules Son of Zeus,pragmaticexternal:HerculesSonZeus,vs50hercules
2984,Hercules and Pegasus,pragmaticexternal:HerculesandPegasus,vs20hercpeg
2985,Honey Honey Honey,pragmaticexternal:HoneyHoneyHoney,vs20honey
2986,Hot Chilli,pragmaticexternal:HotChilli,vs9hotroll
2987,Hot Safari,pragmaticexternal:HotSafari,vs25safari
2988,Hot Safari 50 000,pragmaticexternal:HotSafari50000,scsafari
2989,Jade Butterfly,pragmaticexternal:JadeButterfly,vs1024butterfly
2990,John Hunter and the Aztec Treasure,pragmaticexternal:JohnHunterandtheAztecTreasure,vs7776secrets
2991,John Hunter and the Tomb of the Scarab Queen,pragmaticexternal:JohnHunterandtheTomboftheScarabQueen,vs25scarabqueen
2992,Joker's Jewels,pragmaticexternal:JokersJewels,vs5joker
2993,Journey to the West,pragmaticexternal:JourneytotheWest,vs25journey
2994,Jurassic Giants,pragmaticexternal:JurassicGiants,vs4096jurassic
2995,Lady Godiva,pragmaticexternal:LadyGodiva,vs20godiva
2996,Leprechaun Carol,pragmaticexternal:LeprechaunCarol,vs20leprexmas
2997,Leprechaun Song,pragmaticexternal:LeprechaunSong,vs20leprechaun
3006,Lucky Dragons,pragmaticexternal:LuckyDragons,vs50chinesecharms
3007,Lucky New Year,pragmaticexternal:LuckyNewYear,vs25newyear
3008,Madame Destiny,pragmaticexternal:MadameDestiny,vs10madame
3009,Magic Crystals,pragmaticexternal:MagicCrystals,vs243crystalcave
3010,Magic Journey,pragmaticexternal:MagicJourney,vs8magicjourn
3011,Master Chen's Fortune,pragmaticexternal:MasterChensFortune,vs9chen
3012,Master Joker,pragmaticexternal:MasterJoker,vs1masterjoker
3013,Mighty Kong,pragmaticexternal:MightyKong,vs50kingkong
3014,Money Mouse,pragmaticexternal:MoneyMouse,vs25mmouse
3015,Monkey Madness,pragmaticexternal:MonkeyMadness,vs9madmonkey
3016,Monkey Warrior,pragmaticexternal:MonkeyWarrior,vs243mwarrior
3017,Multihand Blackjack,pragmaticexternal:MultihandBlackjack,bjma
3018,Mustang Gold,pragmaticexternal:MustangGold,vs25mustang
3019,Mysterious,pragmaticexternal:Mysterious,vs4096mystery
3020,Panda's Fortune,pragmaticexternal:PandaFortune,vs25pandagold
3021,Panda Gold 10 000,pragmaticexternal:PandaGold10000,scpanda
3022,Panther Queen,pragmaticexternal:PantherQueen,vs25pantherqueen
3023,Peking Luck,pragmaticexternal:PekingLuck,vs25peking
3024,Pirate Gold,pragmaticexternal:PirateGold,vs40pirate
3025,Pixie Wings,pragmaticexternal:PixieWings,vs50pixie
3026,Queen of Atlantis,pragmaticexternal:QueenOfAtlantis,vs1024atlantis
3027,Queen of Gold,pragmaticexternal:QueenOfGold,vs25queenofgold
3028,Queen of Gold 100 000,pragmaticexternal:QueenofGold100000,scqog
3029,Release the Kraken,pragmaticexternal:ReleasetheKraken,vs20kraken
3030,Roulette Crystal,pragmaticexternal:RouletteCrystal,rla
3035,Safari King,pragmaticexternal:SafariKing,vs50safariking
3036,Santa,pragmaticexternal:Santa,vs20santa
3037,7 Monkeys,pragmaticexternal:SevenMonkeys,vs7monkeys
3042,Super 7s,pragmaticexternal:Super7s,vs5super7
3043,Super Joker,pragmaticexternal:SuperJoker,vs5spjoker
3044,Sweet Bonanza,pragmaticexternal:SweetBonanza,vs20fruitsw
3045,Sweet Bonanza Xmas,pragmaticexternal:SweetBonanzaXmas,vs20sbxmas
3046,The Champions,pragmaticexternal:TheChampions,vs25champ
3047,The Dog House,pragmaticexternal:TheDogHouse,vs20doghouse
3048,The Great Chicken Escape,pragmaticexternal:TheGreatChickenEscape,vs20chicken
3049,The Wild Machine,pragmaticexternal:TheWildMachine,vs40madwheel
